"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that we can retrieve specific photos by valid IDs","65","testGetSinglePhoto","Surefire suite","Fri Jul 11 11:40:22 GMT 2025","passed","Fri Jul 11 11:40:22 GMT 2025","com.emmanuelarhu.tests.PhotosTest","Surefire test","com.emmanuelarhu.tests.PhotosTest","testGetSinglePhoto"
"Verify that we can retrieve specific posts by valid IDs","96","testGetSinglePost","Surefire suite","Fri Jul 11 11:40:13 GMT 2025","passed","Fri Jul 11 11:40:13 GMT 2025","com.emmanuelarhu.tests.PostsTest","Surefire test","com.emmanuelarhu.tests.PostsTest","testGetSinglePost"
"Verify that we can create new albums with valid data","86","testCreateNewAlbum","Surefire suite","Fri Jul 11 11:40:17 GMT 2025","passed","Fri Jul 11 11:40:17 GMT 2025","com.emmanuelarhu.tests.AlbumsTest","Surefire test","com.emmanuelarhu.tests.AlbumsTest","testCreateNewAlbum"
"Verify that we can retrieve specific albums by valid IDs","67","testGetSingleAlbum","Surefire suite","Fri Jul 11 11:40:16 GMT 2025","passed","Fri Jul 11 11:40:16 GMT 2025","com.emmanuelarhu.tests.AlbumsTest","Surefire test","com.emmanuelarhu.tests.AlbumsTest","testGetSingleAlbum"
"Verify that we can filter comments by post ID","48","testFilterCommentsByPost","Surefire suite","Fri Jul 11 11:40:19 GMT 2025","passed","Fri Jul 11 11:40:19 GMT 2025","com.emmanuelarhu.tests.CommentsTest","Surefire test","com.emmanuelarhu.tests.CommentsTest","testFilterCommentsByPost"
"Verify that we can retrieve specific albums by valid IDs","61","testGetSingleAlbum","Surefire suite","Fri Jul 11 11:40:16 GMT 2025","passed","Fri Jul 11 11:40:16 GMT 2025","com.emmanuelarhu.tests.AlbumsTest","Surefire test","com.emmanuelarhu.tests.AlbumsTest","testGetSingleAlbum"
"Verify that we can filter photos by album ID","63","testFilterPhotosByAlbum","Surefire suite","Fri Jul 11 11:40:23 GMT 2025","passed","Fri Jul 11 11:40:23 GMT 2025","com.emmanuelarhu.tests.PhotosTest","Surefire test","com.emmanuelarhu.tests.PhotosTest","testFilterPhotosByAlbum"
"Verify that we can filter photos by album ID","62","testFilterPhotosByAlbum","Surefire suite","Fri Jul 11 11:40:23 GMT 2025","passed","Fri Jul 11 11:40:23 GMT 2025","com.emmanuelarhu.tests.PhotosTest","Surefire test","com.emmanuelarhu.tests.PhotosTest","testFilterPhotosByAlbum"
"Verify that we can update existing albums","95","testUpdateAlbum","Surefire suite","Fri Jul 11 11:40:17 GMT 2025","passed","Fri Jul 11 11:40:17 GMT 2025","com.emmanuelarhu.tests.AlbumsTest","Surefire test","com.emmanuelarhu.tests.AlbumsTest","testUpdateAlbum"
"Verify API response when sending malformed photo JSON","59","testCreatePhotoWithMalformedJson","Surefire suite","Fri Jul 11 11:40:24 GMT 2025","passed","Fri Jul 11 11:40:24 GMT 2025","com.emmanuelarhu.tests.PhotosTest","Surefire test","com.emmanuelarhu.tests.PhotosTest","testCreatePhotoWithMalformedJson"
"Verify that we can update existing users","72","testUpdateUser","Surefire suite","Fri Jul 11 11:40:27 GMT 2025","passed","Fri Jul 11 11:40:27 GMT 2025","com.emmanuelarhu.tests.UsersTest","Surefire test","com.emmanuelarhu.tests.UsersTest","testUpdateUser"
"Verify that creating albums with invalid data handles errors appropriately","118","testCreateAlbumWithInvalidData","Surefire suite","Fri Jul 11 08:58:37 GMT 2025","passed","Fri Jul 11 08:58:37 GMT 2025","com.emmanuelarhu.tests.AlbumsTest","Surefire test","com.emmanuelarhu.tests.AlbumsTest","testCreateAlbumWithInvalidData"
"Verify that requesting non-existent comments returns 404","43","testGetNonExistentComment","Surefire suite","Fri Jul 11 11:40:20 GMT 2025","passed","Fri Jul 11 11:40:20 GMT 2025","com.emmanuelarhu.tests.CommentsTest","Surefire test","com.emmanuelarhu.tests.CommentsTest","testGetNonExistentComment"
"Verify that we can retrieve specific albums by valid IDs","63","testGetSingleAlbum","Surefire suite","Fri Jul 11 11:40:16 GMT 2025","passed","Fri Jul 11 11:40:16 GMT 2025","com.emmanuelarhu.tests.AlbumsTest","Surefire test","com.emmanuelarhu.tests.AlbumsTest","testGetSingleAlbum"
"Verify that we can update existing todos","62","testUpdateTodo","Surefire suite","Fri Jul 11 11:40:25 GMT 2025","passed","Fri Jul 11 11:40:25 GMT 2025","com.emmanuelarhu.tests.TodosTest","Surefire test","com.emmanuelarhu.tests.TodosTest","testUpdateTodo"
"Verify that we can retrieve specific comments by valid IDs","87","testGetSingleComment","Surefire suite","Fri Jul 11 11:40:19 GMT 2025","passed","Fri Jul 11 11:40:19 GMT 2025","com.emmanuelarhu.tests.CommentsTest","Surefire test","com.emmanuelarhu.tests.CommentsTest","testGetSingleComment"
"Verify that we can filter comments by post ID","55","testFilterCommentsByPost","Surefire suite","Fri Jul 11 11:40:19 GMT 2025","passed","Fri Jul 11 11:40:19 GMT 2025","com.emmanuelarhu.tests.CommentsTest","Surefire test","com.emmanuelarhu.tests.CommentsTest","testFilterCommentsByPost"
"Verify that requesting non-existent posts returns 404","43","testGetNonExistentPost","Surefire suite","Fri Jul 11 11:40:15 GMT 2025","passed","Fri Jul 11 11:40:15 GMT 2025","com.emmanuelarhu.tests.PostsTest","Surefire test","com.emmanuelarhu.tests.PostsTest","testGetNonExistentPost"
"Verify that we can filter photos by album ID","56","testFilterPhotosByAlbum","Surefire suite","Fri Jul 11 11:40:23 GMT 2025","passed","Fri Jul 11 11:40:23 GMT 2025","com.emmanuelarhu.tests.PhotosTest","Surefire test","com.emmanuelarhu.tests.PhotosTest","testFilterPhotosByAlbum"
"Verify API response when filtering with non-existent post ID","46","testFilterCommentsWithInvalidPostId","Surefire suite","Fri Jul 11 11:40:20 GMT 2025","failed","Fri Jul 11 11:40:20 GMT 2025","com.emmanuelarhu.tests.CommentsTest","Surefire test","com.emmanuelarhu.tests.CommentsTest","testFilterCommentsWithInvalidPostId"
"Verify that we can filter comments by post ID","47","testFilterCommentsByPost","Surefire suite","Fri Jul 11 11:40:20 GMT 2025","passed","Fri Jul 11 11:40:20 GMT 2025","com.emmanuelarhu.tests.CommentsTest","Surefire test","com.emmanuelarhu.tests.CommentsTest","testFilterCommentsByPost"
"Verify that we can filter todos by completion status","80","testFilterTodosByCompletionStatus","Surefire suite","Fri Jul 11 11:40:25 GMT 2025","passed","Fri Jul 11 11:40:25 GMT 2025","com.emmanuelarhu.tests.TodosTest","Surefire test","com.emmanuelarhu.tests.TodosTest","testFilterTodosByCompletionStatus"
"Verify that we can delete existing comments","61","testDeleteComment","Surefire suite","Fri Jul 11 11:40:19 GMT 2025","passed","Fri Jul 11 11:40:19 GMT 2025","com.emmanuelarhu.tests.CommentsTest","Surefire test","com.emmanuelarhu.tests.CommentsTest","testDeleteComment"
"Verify that requesting non-existent todos returns 404","57","testGetNonExistentTodo","Surefire suite","Fri Jul 11 11:40:26 GMT 2025","passed","Fri Jul 11 11:40:26 GMT 2025","com.emmanuelarhu.tests.TodosTest","Surefire test","com.emmanuelarhu.tests.TodosTest","testGetNonExistentTodo"
"Verify that we can retrieve specific albums by valid IDs","72","testGetSingleAlbum","Surefire suite","Fri Jul 11 11:40:16 GMT 2025","passed","Fri Jul 11 11:40:16 GMT 2025","com.emmanuelarhu.tests.AlbumsTest","Surefire test","com.emmanuelarhu.tests.AlbumsTest","testGetSingleAlbum"
"Verify that creating photos with invalid data handles errors appropriately","52","testCreatePhotoWithInvalidData","Surefire suite","Fri Jul 11 11:40:24 GMT 2025","passed","Fri Jul 11 11:40:24 GMT 2025","com.emmanuelarhu.tests.PhotosTest","Surefire test","com.emmanuelarhu.tests.PhotosTest","testCreatePhotoWithInvalidData"
"Verify that creating comments with invalid data handles errors appropriately","63","testCreateCommentWithInvalidData","Surefire suite","Fri Jul 11 11:40:20 GMT 2025","failed","Fri Jul 11 11:40:20 GMT 2025","com.emmanuelarhu.tests.CommentsTest","Surefire test","com.emmanuelarhu.tests.CommentsTest","testCreateCommentWithInvalidData"
"Verify that we can retrieve specific photos by valid IDs","73","testGetSinglePhoto","Surefire suite","Fri Jul 11 11:40:21 GMT 2025","passed","Fri Jul 11 11:40:22 GMT 2025","com.emmanuelarhu.tests.PhotosTest","Surefire test","com.emmanuelarhu.tests.PhotosTest","testGetSinglePhoto"
"Verify that creating comments with invalid data handles errors appropriately","56","testCreateCommentWithInvalidData","Surefire suite","Fri Jul 11 11:40:20 GMT 2025","failed","Fri Jul 11 11:40:20 GMT 2025","com.emmanuelarhu.tests.CommentsTest","Surefire test","com.emmanuelarhu.tests.CommentsTest","testCreateCommentWithInvalidData"
"Verify that we can retrieve specific posts by valid IDs","107","testGetSinglePost","Surefire suite","Fri Jul 11 11:40:13 GMT 2025","passed","Fri Jul 11 11:40:13 GMT 2025","com.emmanuelarhu.tests.PostsTest","Surefire test","com.emmanuelarhu.tests.PostsTest","testGetSinglePost"
"Verify that we can retrieve specific comments by valid IDs","72","testGetSingleComment","Surefire suite","Fri Jul 11 11:40:18 GMT 2025","passed","Fri Jul 11 11:40:18 GMT 2025","com.emmanuelarhu.tests.CommentsTest","Surefire test","com.emmanuelarhu.tests.CommentsTest","testGetSingleComment"
"Verify that we can retrieve specific posts by valid IDs","97","testGetSinglePost","Surefire suite","Fri Jul 11 11:40:12 GMT 2025","passed","Fri Jul 11 11:40:13 GMT 2025","com.emmanuelarhu.tests.PostsTest","Surefire test","com.emmanuelarhu.tests.PostsTest","testGetSinglePost"
"Verify that we can create new photos with valid data","80","testCreateNewPhoto","Surefire suite","Fri Jul 11 11:40:22 GMT 2025","passed","Fri Jul 11 11:40:22 GMT 2025","com.emmanuelarhu.tests.PhotosTest","Surefire test","com.emmanuelarhu.tests.PhotosTest","testCreateNewPhoto"
"Verify that requesting non-existent todos returns 404","49","testGetNonExistentTodo","Surefire suite","Fri Jul 11 11:40:26 GMT 2025","passed","Fri Jul 11 11:40:26 GMT 2025","com.emmanuelarhu.tests.TodosTest","Surefire test","com.emmanuelarhu.tests.TodosTest","testGetNonExistentTodo"
"Verify that creating users with invalid data handles errors appropriately","45","testCreateUserWithInvalidData","Surefire suite","Fri Jul 11 11:40:28 GMT 2025","failed","Fri Jul 11 11:40:28 GMT 2025","com.emmanuelarhu.tests.UsersTest","Surefire test","com.emmanuelarhu.tests.UsersTest","testCreateUserWithInvalidData"
"Verify that we can retrieve specific photos by valid IDs","79","testGetSinglePhoto","Surefire suite","Fri Jul 11 11:40:22 GMT 2025","passed","Fri Jul 11 11:40:22 GMT 2025","com.emmanuelarhu.tests.PhotosTest","Surefire test","com.emmanuelarhu.tests.PhotosTest","testGetSinglePhoto"
"Verify that creating photos with invalid data handles errors appropriately","51","testCreatePhotoWithInvalidData","Surefire suite","Fri Jul 11 11:40:23 GMT 2025","passed","Fri Jul 11 11:40:23 GMT 2025","com.emmanuelarhu.tests.PhotosTest","Surefire test","com.emmanuelarhu.tests.PhotosTest","testCreatePhotoWithInvalidData"
"Verify that requesting non-existent albums returns 404","42","testGetNonExistentAlbum","Surefire suite","Fri Jul 11 11:40:18 GMT 2025","passed","Fri Jul 11 11:40:18 GMT 2025","com.emmanuelarhu.tests.AlbumsTest","Surefire test","com.emmanuelarhu.tests.AlbumsTest","testGetNonExistentAlbum"
"Verify that creating albums with invalid data handles errors appropriately","263","testCreateAlbumWithInvalidData","Surefire suite","Fri Jul 11 08:58:37 GMT 2025","passed","Fri Jul 11 08:58:38 GMT 2025","com.emmanuelarhu.tests.AlbumsTest","Surefire test","com.emmanuelarhu.tests.AlbumsTest","testCreateAlbumWithInvalidData"
"Verify behavior when trying to delete non-existent post","77","testDeleteNonExistentPost","Surefire suite","Fri Jul 11 11:40:15 GMT 2025","failed","Fri Jul 11 11:40:15 GMT 2025","com.emmanuelarhu.tests.PostsTest","Surefire test","com.emmanuelarhu.tests.PostsTest","testDeleteNonExistentPost"
"Verify that we can delete existing photos","58","testDeletePhoto","Surefire suite","Fri Jul 11 11:40:23 GMT 2025","passed","Fri Jul 11 11:40:23 GMT 2025","com.emmanuelarhu.tests.PhotosTest","Surefire test","com.emmanuelarhu.tests.PhotosTest","testDeletePhoto"
"Verify that we can partially update albums using PATCH","77","testPatchAlbum","Surefire suite","Fri Jul 11 11:40:17 GMT 2025","passed","Fri Jul 11 11:40:17 GMT 2025","com.emmanuelarhu.tests.AlbumsTest","Surefire test","com.emmanuelarhu.tests.AlbumsTest","testPatchAlbum"
"Verify that we can filter albums by user ID","55","testFilterAlbumsByUser","Surefire suite","Fri Jul 11 11:40:17 GMT 2025","passed","Fri Jul 11 11:40:17 GMT 2025","com.emmanuelarhu.tests.AlbumsTest","Surefire test","com.emmanuelarhu.tests.AlbumsTest","testFilterAlbumsByUser"
"Verify that requesting non-existent photos returns 404","40","testGetNonExistentPhoto","Surefire suite","Fri Jul 11 11:40:23 GMT 2025","passed","Fri Jul 11 11:40:23 GMT 2025","com.emmanuelarhu.tests.PhotosTest","Surefire test","com.emmanuelarhu.tests.PhotosTest","testGetNonExistentPhoto"
"Verify behavior when trying to delete non-existent album","42","testDeleteNonExistentAlbum","Surefire suite","Fri Jul 11 11:40:18 GMT 2025","failed","Fri Jul 11 11:40:18 GMT 2025","com.emmanuelarhu.tests.AlbumsTest","Surefire test","com.emmanuelarhu.tests.AlbumsTest","testDeleteNonExistentAlbum"
"Verify that we can update existing photos","86","testUpdatePhoto","Surefire suite","Fri Jul 11 11:40:22 GMT 2025","passed","Fri Jul 11 11:40:23 GMT 2025","com.emmanuelarhu.tests.PhotosTest","Surefire test","com.emmanuelarhu.tests.PhotosTest","testUpdatePhoto"
"Verify that we can retrieve specific comments by valid IDs","78","testGetSingleComment","Surefire suite","Fri Jul 11 11:40:18 GMT 2025","passed","Fri Jul 11 11:40:19 GMT 2025","com.emmanuelarhu.tests.CommentsTest","Surefire test","com.emmanuelarhu.tests.CommentsTest","testGetSingleComment"
"Verify that we can retrieve specific todos by valid IDs","62","testGetSingleTodo","Surefire suite","Fri Jul 11 11:40:24 GMT 2025","passed","Fri Jul 11 11:40:25 GMT 2025","com.emmanuelarhu.tests.TodosTest","Surefire test","com.emmanuelarhu.tests.TodosTest","testGetSingleTodo"
"Verify that creating photos with invalid data handles errors appropriately","53","testCreatePhotoWithInvalidData","Surefire suite","Fri Jul 11 11:40:24 GMT 2025","passed","Fri Jul 11 11:40:24 GMT 2025","com.emmanuelarhu.tests.PhotosTest","Surefire test","com.emmanuelarhu.tests.PhotosTest","testCreatePhotoWithInvalidData"
"Verify behavior when trying to delete non-existent todo","60","testDeleteNonExistentTodo","Surefire suite","Fri Jul 11 11:40:26 GMT 2025","failed","Fri Jul 11 11:40:26 GMT 2025","com.emmanuelarhu.tests.TodosTest","Surefire test","com.emmanuelarhu.tests.TodosTest","testDeleteNonExistentTodo"
"Verify that we can filter todos by user ID","55","testFilterTodosByUser","Surefire suite","Fri Jul 11 11:40:25 GMT 2025","passed","Fri Jul 11 11:40:25 GMT 2025","com.emmanuelarhu.tests.TodosTest","Surefire test","com.emmanuelarhu.tests.TodosTest","testFilterTodosByUser"
"Verify that we can create new todos with valid data","73","testCreateNewTodo","Surefire suite","Fri Jul 11 11:40:25 GMT 2025","passed","Fri Jul 11 11:40:25 GMT 2025","com.emmanuelarhu.tests.TodosTest","Surefire test","com.emmanuelarhu.tests.TodosTest","testCreateNewTodo"
"Verify that we can retrieve all posts and get exactly 100 posts","3454","testGetAllPosts","Surefire suite","Fri Jul 11 11:40:09 GMT 2025","passed","Fri Jul 11 11:40:12 GMT 2025","com.emmanuelarhu.tests.PostsTest","Surefire test","com.emmanuelarhu.tests.PostsTest","testGetAllPosts"
"Verify that we can filter albums by user ID","55","testFilterAlbumsByUser","Surefire suite","Fri Jul 11 11:40:17 GMT 2025","passed","Fri Jul 11 11:40:17 GMT 2025","com.emmanuelarhu.tests.AlbumsTest","Surefire test","com.emmanuelarhu.tests.AlbumsTest","testFilterAlbumsByUser"
"Verify that creating todos with invalid data handles errors appropriately","0","testCreateTodoWithInvalidData","Surefire suite","Fri Jul 11 11:40:26 GMT 2025","broken","Fri Jul 11 11:40:26 GMT 2025","com.emmanuelarhu.tests.TodosTest","Surefire test","com.emmanuelarhu.tests.TodosTest","testCreateTodoWithInvalidData"
"Verify that requesting non-existent users returns 404","45","testGetNonExistentUser","Surefire suite","Fri Jul 11 11:40:28 GMT 2025","passed","Fri Jul 11 11:40:28 GMT 2025","com.emmanuelarhu.tests.UsersTest","Surefire test","com.emmanuelarhu.tests.UsersTest","testGetNonExistentUser"
"Verify that creating photos with invalid data handles errors appropriately","48","testCreatePhotoWithInvalidData","Surefire suite","Fri Jul 11 11:40:24 GMT 2025","passed","Fri Jul 11 11:40:24 GMT 2025","com.emmanuelarhu.tests.PhotosTest","Surefire test","com.emmanuelarhu.tests.PhotosTest","testCreatePhotoWithInvalidData"
"Verify that we can completely update an existing post","93","testUpdatePost","Surefire suite","Fri Jul 11 11:40:14 GMT 2025","passed","Fri Jul 11 11:40:14 GMT 2025","com.emmanuelarhu.tests.PostsTest","Surefire test","com.emmanuelarhu.tests.PostsTest","testUpdatePost"
"Verify that creating users with invalid data handles errors appropriately","52","testCreateUserWithInvalidData","Surefire suite","Fri Jul 11 11:40:28 GMT 2025","failed","Fri Jul 11 11:40:28 GMT 2025","com.emmanuelarhu.tests.UsersTest","Surefire test","com.emmanuelarhu.tests.UsersTest","testCreateUserWithInvalidData"
"Verify that creating posts with invalid data handles errors appropriately","52","testCreatePostWithInvalidData","Surefire suite","Fri Jul 11 11:40:15 GMT 2025","failed","Fri Jul 11 11:40:15 GMT 2025","com.emmanuelarhu.tests.PostsTest","Surefire test","com.emmanuelarhu.tests.PostsTest","testCreatePostWithInvalidData"
"Verify that we can retrieve specific posts by valid IDs","88","testGetSinglePost","Surefire suite","Fri Jul 11 11:40:13 GMT 2025","passed","Fri Jul 11 11:40:13 GMT 2025","com.emmanuelarhu.tests.PostsTest","Surefire test","com.emmanuelarhu.tests.PostsTest","testGetSinglePost"
"Verify that creating users with invalid data handles errors appropriately","54","testCreateUserWithInvalidData","Surefire suite","Fri Jul 11 11:40:28 GMT 2025","failed","Fri Jul 11 11:40:28 GMT 2025","com.emmanuelarhu.tests.UsersTest","Surefire test","com.emmanuelarhu.tests.UsersTest","testCreateUserWithInvalidData"
"Verify that we can create new users with valid data","69","testCreateNewUser","Surefire suite","Fri Jul 11 11:40:27 GMT 2025","passed","Fri Jul 11 11:40:27 GMT 2025","com.emmanuelarhu.tests.UsersTest","Surefire test","com.emmanuelarhu.tests.UsersTest","testCreateNewUser"
"Verify that creating photos with invalid data handles errors appropriately","57","testCreatePhotoWithInvalidData","Surefire suite","Fri Jul 11 11:40:23 GMT 2025","passed","Fri Jul 11 11:40:23 GMT 2025","com.emmanuelarhu.tests.PhotosTest","Surefire test","com.emmanuelarhu.tests.PhotosTest","testCreatePhotoWithInvalidData"
"Verify that we can retrieve specific users by valid IDs","77","testGetSingleUser","Surefire suite","Fri Jul 11 11:40:27 GMT 2025","passed","Fri Jul 11 11:40:27 GMT 2025","com.emmanuelarhu.tests.UsersTest","Surefire test","com.emmanuelarhu.tests.UsersTest","testGetSingleUser"
"Verify that we can update existing users","69","testUpdateUser","Surefire suite","Fri Jul 11 11:40:27 GMT 2025","passed","Fri Jul 11 11:40:27 GMT 2025","com.emmanuelarhu.tests.UsersTest","Surefire test","com.emmanuelarhu.tests.UsersTest","testUpdateUser"
"Verify that requesting non-existent albums returns 404","59","testGetNonExistentAlbum","Surefire suite","Fri Jul 11 11:40:18 GMT 2025","passed","Fri Jul 11 11:40:18 GMT 2025","com.emmanuelarhu.tests.AlbumsTest","Surefire test","com.emmanuelarhu.tests.AlbumsTest","testGetNonExistentAlbum"
"Verify that we can delete an existing post","57","testDeletePost","Surefire suite","Fri Jul 11 11:40:14 GMT 2025","passed","Fri Jul 11 11:40:14 GMT 2025","com.emmanuelarhu.tests.PostsTest","Surefire test","com.emmanuelarhu.tests.PostsTest","testDeletePost"
"Verify completion toggle functionality","92","testToggleCompletion","Surefire suite","Fri Jul 11 11:40:26 GMT 2025","passed","Fri Jul 11 11:40:26 GMT 2025","com.emmanuelarhu.tests.TodosTest","Surefire test","com.emmanuelarhu.tests.TodosTest","testToggleCompletion"
"Verify that we can filter todos by user ID","65","testFilterTodosByUser","Surefire suite","Fri Jul 11 11:40:26 GMT 2025","passed","Fri Jul 11 11:40:26 GMT 2025","com.emmanuelarhu.tests.TodosTest","Surefire test","com.emmanuelarhu.tests.TodosTest","testFilterTodosByUser"
"Verify that we can update existing comments","84","testUpdateComment","Surefire suite","Fri Jul 11 11:40:19 GMT 2025","passed","Fri Jul 11 11:40:19 GMT 2025","com.emmanuelarhu.tests.CommentsTest","Surefire test","com.emmanuelarhu.tests.CommentsTest","testUpdateComment"
"Verify API response when sending malformed todo JSON","63","testCreateTodoWithMalformedJson","Surefire suite","Fri Jul 11 11:40:26 GMT 2025","passed","Fri Jul 11 11:40:26 GMT 2025","com.emmanuelarhu.tests.TodosTest","Surefire test","com.emmanuelarhu.tests.TodosTest","testCreateTodoWithMalformedJson"
"Verify that requesting non-existent photos returns 404","49","testGetNonExistentPhoto","Surefire suite","Fri Jul 11 11:40:23 GMT 2025","passed","Fri Jul 11 11:40:23 GMT 2025","com.emmanuelarhu.tests.PhotosTest","Surefire test","com.emmanuelarhu.tests.PhotosTest","testGetNonExistentPhoto"
"Verify that creating comments with invalid data handles errors appropriately","50","testCreateCommentWithInvalidData","Surefire suite","Fri Jul 11 11:40:20 GMT 2025","failed","Fri Jul 11 11:40:20 GMT 2025","com.emmanuelarhu.tests.CommentsTest","Surefire test","com.emmanuelarhu.tests.CommentsTest","testCreateCommentWithInvalidData"
